commit	avg_score	passed	task_scores	cost_usd	status	description
baseline	1.0	3/3	csv-lead-dedup=1.0,json-to-csv=1.0,sqlite-pipeline=1.0	0.00	pass	Unmodified agent.py baseline - all tasks pass
iter2-verify	1.0	3/3	csv-lead-dedup=1.0,json-to-csv=1.0,sqlite-pipeline=1.0	0.00	pass	Added Verification Protocol + Output Paths to SYSTEM_PROMPT
iter3-data	1.0	3/3	csv-lead-dedup=1.0,json-to-csv=1.0,sqlite-pipeline=1.0	0.00	pass	Added Data Engineering Best Practices to SYSTEM_PROMPT
iter4-protocol	1.0	3/3	csv-lead-dedup=1.0,json-to-csv=1.0,sqlite-pipeline=1.0	0.00	pass	Improved Core Protocol: inspect inputs + plan + single-script execution
iter1-7tasks	1.0	7/7	csv-lead-dedup=1.0,json-to-csv=1.0,sqlite-pipeline=1.0,regex-phone-extract=1.0,multi-step-pipeline=1.0,error-recovery-etl=1.0,api-mock-dashboard=1.0	0.00	pass	All 7 tasks pass (4 new hard tasks added) with current agent.py
iter1-efficient	1.0	7/7	csv-lead-dedup=1.0,json-to-csv=1.0,sqlite-pipeline=1.0,regex-phone-extract=1.0,multi-step-pipeline=1.0,error-recovery-etl=1.0,api-mock-dashboard=1.0	0.00	pass	Tighter prompt (removed Self-Improvement fluff, added bug-fix + fuzzy-match guidance), MAX_TURNS 200->50
iter2-efficiency	1.0	7/7	csv-lead-dedup=1.0,json-to-csv=1.0,sqlite-pipeline=1.0,regex-phone-extract=1.0,multi-step-pipeline=1.0,error-recovery-etl=1.0,api-mock-dashboard=1.0	0.00	pass	Efficiency: thinking 128K->32K, MAX_TURNS 50->30, checkpointing off, shorter prompt with STOP-when-correct
iter3-efficiency	1.0	7/7	csv-lead-dedup=1.0,json-to-csv=1.0,sqlite-pipeline=1.0,regex-phone-extract=1.0,multi-step-pipeline=1.0,error-recovery-etl=1.0,api-mock-dashboard=1.0	0.00	pass	Efficiency: thinking 32K->10K, MAX_TURNS 30->15, self-verify in script (fewer turns), trimmed prompt
iter4-efficiency	1.0	3/3	csv-lead-dedup=1.0,json-to-csv=1.0,sqlite-pipeline=1.0	0.00	pass	Efficiency: thinking 10K->8K, MAX_TURNS 15->10
iter5-efficiency	1.0	7/7	csv-lead-dedup=1.0,json-to-csv=1.0,sqlite-pipeline=1.0,regex-phone-extract=1.0,multi-step-pipeline=1.0,error-recovery-etl=1.0,api-mock-dashboard=1.0	0.00	pass	Efficiency: thinking 8K→6K, MAX_TURNS 10→8, tighter prompt, added discount/tax guidance
iter6-efficiency	1.0	3/3	csv-lead-dedup=1.0,json-to-csv=1.0,sqlite-pipeline=1.0	0.00	pass	Efficiency: thinking 6K→4K, MAX_TURNS 8→6, compressed prompt (~30% shorter)
iter7-efficiency	1.0	7/7	csv-lead-dedup=1.0,json-to-csv=1.0,sqlite-pipeline=1.0,regex-phone-extract=1.0,multi-step-pipeline=1.0,error-recovery-etl=1.0,api-mock-dashboard=1.0	0.00	pass	Efficiency: thinking 4K→3K, MAX_TURNS 6→5, further prompt compression (~20% shorter)
iter8-efficiency	1.0	7/7	csv-lead-dedup=1.0,json-to-csv=1.0,sqlite-pipeline=1.0,regex-phone-extract=1.0,multi-step-pipeline=1.0,error-recovery-etl=1.0,api-mock-dashboard=1.0	0.00	pass	Efficiency: thinking 3K→2K, MAX_TURNS 5→4
iter9-efficiency	1.0	7/7	csv-lead-dedup=1.0,json-to-csv=1.0,sqlite-pipeline=1.0,regex-phone-extract=1.0,multi-step-pipeline=1.0,error-recovery-etl=1.0,api-mock-dashboard=1.0	0.00	pass	Efficiency: thinking 2K→1K, MAX_TURNS 4→3
iter10-efficiency	1.0	7/7	csv-lead-dedup=1.0,json-to-csv=1.0,sqlite-pipeline=1.0,regex-phone-extract=1.0,multi-step-pipeline=1.0,error-recovery-etl=1.0,api-mock-dashboard=1.0	0.00	pass	Efficiency: EFFORT high→medium, thinking 1K, turns 3
iter11-efficiency	1.0	7/7	csv-lead-dedup=1.0,json-to-csv=1.0,sqlite-pipeline=1.0,regex-phone-extract=1.0,multi-step-pipeline=1.0,error-recovery-etl=1.0,api-mock-dashboard=1.0	0.00	pass	Efficiency: thinking 1K→500, turns 3, effort medium
iter12-efficiency	1.0	7/7	csv-lead-dedup=1.0,json-to-csv=1.0,sqlite-pipeline=1.0,regex-phone-extract=1.0,multi-step-pipeline=1.0,error-recovery-etl=1.0,api-mock-dashboard=1.0	0.00	pass	Efficiency: thinking 500→300, turns 3, effort medium
iter13-efficiency	1.0	7/7	csv-lead-dedup=1.0,json-to-csv=1.0,sqlite-pipeline=1.0,regex-phone-extract=1.0,multi-step-pipeline=1.0,error-recovery-etl=1.0,api-mock-dashboard=1.0	0.00	pass	Efficiency: thinking 300→200, turns 3, effort medium
